FOC1,FOC2,FOC3
1236.709961,713.5700073,1132.790039
1232.97998,724.1500244,1172.469971
1267.089966,724.289978,1078.140015
1257.939941,430.269989,1113.609985
1171.25,460.519989,1100.329956
1250.589966,454.3800049,1115.23999
1240.150024,468.2000122,1013.059998
1205.560059,459.5700073,1076.75
1255.02002,459.0899963,1088.47998
1253.540039,455.730011,1091.180054
1261.619995,463.7600098,1071.910034
1234.030029,459.480011,1077.949951
1242.109985,473.7900085,1139.810059
1234.050049,472.730011,1063.780029
1227.48999,472.9599915,1089.97998
1271.910034,456.0400085,1089.5
1239.97998,464.9100037,1113.810059
1222.410034,455.8800049,1079.930054
1225.719971,454.8699951,1105.02002
1231.5,461.5499878,1116.180054
1251.829956,462.4100037,1112.719971
1216.459961,471.1700134,1088.040039
1219.640015,468.6799927,1094.650024
1246.410034,463.1400146,1133.689941
1241.810059,466.2900085,1090.310059
1230.560059,707.9899902,1171.349976
1223.560059,909.1099854,1087.780029
1241.26001,1135.599976,1091.77002
1229.670044,1065.560059,1050.459961
1256.459961,1051.219971,1044.219971
1253.98999,1063.670044,1060.439941
1232.040039,1058.52002,1167.449951
1274.859985,1063.22998,1080.22998
1238.819946,1061.310059,1117.560059
1238.390015,1059.719971,1064.780029
1228.949951,1077.180054,1048.689941
1226.530029,1070.319946,1091.180054
1225.02002,1048.040039,1102.119995
1248.47998,792.7800293,1071.599976
1235.349976,422.7200012,1020.419983
1250.689941,739.960022,1058.699951
1208.199951,852.6300049,1021.840027
1213.170044,1090.780029,1057.540039
1254.390015,1043.180054,1097.459961
1255.22998,1041.410034,1067.380005
1225.719971,1026.910034,999.5499878
1233.790039,1018.539978,1073.77002
1251.829956,1016.030029,1112.47998
1220.660034,1034.97998,1109.530029
1232.939941,1039.560059,1054.380005
1227.619995,1033.630005,1158.25
1234.47998,1038.72998,1047.709961
1218.699951,1043.459961,1055.060059
1221.359985,1023.099976,1114.660034
1241.810059,1036.420044,1063.839966
1235.469971,1035.089966,1084.790039
1244.180054,702.7000122,1073.959961
1225.329956,488.230011,1109.530029
1237.140015,482.4599915,1018.400024
1229.140015,471.8500061,1110.339966
1230.339966,474.0599976,1063.560059
1227.01001,465.5,1018.77002
1221.209961,475.7799988,1067.660034
1227.310059,464.1199951,991.0900269
1227.380005,467.1900024,1053.790039
1235.48999,467.8299866,1096.959961
1225.719971,753.6300049,1091.02002
1227.180054,735.3599854,1114.349976
1239.630005,718.1599731,1102.930054
1228.640015,721.1599731,1093.530029
1227.01001,696.5200195,1096.040039
1234.160034,700.0900269,1035.959961
1225.290039,712.5,1078.030029
1226.640015,717.8200073,1054.140015
1234.380005,715.1799927,1076.790039
1243.699951,721.2700195,1103.910034
1229.859985,721.4000244,1081.609985
1233.680054,713.4199829,1091.089966
1239.469971,452.0700073,1119.969971
1284.180054,464.5799866,1088.709961
1246.150024,473.1199951,1057.079956
1243.420044,462.2200012,1088.099976
1246.26001,470.9700012,1065
1239.910034,464.9899902,1095.22998
1237.380005,468.0400085,1054.319946
1228.839966,464.769989,1093.619995
1232.459961,465.5599976,1051.680054
1235.51001,458.0499878,1072.800049
1230.02002,457.3200073,1096.630005
1217.699951,494.230011,1092.660034
1227.530029,1020.130005,1055.910034
1234.400024,702.5599976,1077.209961
1218.47998,709.7399902,1033
1242.420044,720.4699707,1097.189941
1243.569946,499.5700073,1085.619995
1219.569946,798.9299927,1063.560059
1254.48999,738.1699829,1104.319946
1238.800049,441.9899902,1063.430054
1241.77002,840.289978,1050.76001
1248,786.9199829,1044.27002
1243.359985,1077.959961,1073
1219.900024,1227.680054,1066.199951
1238.119995,1205.119995,1108.920044
1238.040039,1219.069946,987.2399902
1210.719971,1243.050049,1091.97998
1224.089966,1254.170044,1022.630005
1231.199951,1226.699951,1042.109985
1237.849976,1234.530029,1009.859985
1220.530029,1228.619995,1073
1217,1228.900024,1038.640015
1232.73999,1233.050049,1079.040039
1224.869995,1245.900024,1069.290039
1223.280029,1255.23999,1056.780029
1245.949951,1237.859985,1045.069946
1222.359985,1300.119995,1075.630005
1239.97998,1309.900024,1105.959961
1238.209961,1327.369995,1064.709961
1252.119995,1310.099976,1041.650024
1254.339966,1337.900024,1057.930054
1233.390015,1329.410034,1137.800049
1217.310059,1300.77002,1085.680054
1237.380005,1310.300049,1132.880005
1227.359985,1356.949951,1081.449951
1249.939941,1341.75,1039.560059
1223.849976,1357.880005,1115.199951
1227.25,1308.969971,1109.98999
1234.199951,1261.060059,1094.079956
1242.550049,1249.390015,986.3400269
1238.150024,1253.079956,1091.920044
1233.390015,1261.359985,1077.22998
